nrdax_id,name,registry_family,assigned_resource_class,chains
NRDAX-T0345,unrated-getheaders-response-flood,response_amp,M4,litecoin
NRDAX-T0349,unseeded-hash-collision-dos,compute_amp,M2,quic
NRDAX-T0350,unsolicited-block-state-poisoning,consensus_abuse,OOS,bitcoin|cosmos
NRDAX-T0351,unvalidated-dht-record-storage-exhaustion,memory_amp,M1,libp2p
NRDAX-T0352,unvalidated-field-length-panic,state_import_abuse,M5,quic|solana-agave
NRDAX-T0353,unvalidated-header-buffer-oom,memory_amp,M1,bitcoin|conflux
NRDAX-T0354,unvalidated-inventory-tracking-memory-exhaustion,memory_amp,M1,bitcoin
NRDAX-T0355,unvalidated-relay-map-memory-exhaustion,memory_amp,M1,bitcoin
NRDAX-T0369,websocket-task-spawn-exhaustion,memory_amp,MIX,sui
NRDAX-T0382,error-response-connection-state-leak,memory_amp,M1,quic
NRDAX-T0383,hpack-decoded-size-accounting-bypass,memory_amp,M1,http2
NRDAX-T0384,http2-continuation-frame-flood,compute_amp,M2,http2
NRDAX-T0386,priority-field-parse-exception-leak,memory_amp,M1,http2
NRDAX-T0387,qpack-blocked-decode-flow-control-leak,memory_amp,M1,http3
NRDAX-T0388,unbounded-header-list-size-default-oom,memory_amp,M1,http3
NRDAX-T0389,precompile-gas-underpricing-cpu-burn,compute_amp,M2,ethereum
NRDAX-T0392,invalid-utf8-decode-panic,protocol_logic_exploit,M5,quic
NRDAX-T0394,connection-id-retirement-infinite-loop,compute_amp,M2,quic
NRDAX-T0396,http2-multiplexing-ratelimit-bypass,rate_limiter_bypass,M6,ethereum
NRDAX-T0398,unauthenticated-crypto-signing-cpu-exhaustion,service_misconfig,M6,sui
NRDAX-T0399,uninitialized-nil-map-access-panic,compute_amp,M5,libp2p
NRDAX-T0400,unsigned-integer-underflow-accounting-panic,compute_amp,M5,conflux|quic
NRDAX-T0401,boundary-check-off-by-one-index-oob-panic,compute_amp,M5,cosmos|nimiq
NRDAX-T0403,dht-first-record-verification-bypass,gossip_abuse,OOS,nimiq
NRDAX-T0407,signature-count-integer-overflow-panic,compute_amp,M5,namada
NRDAX-T0408,unbounded-address-list-validation-cpu-exhaustion,memory_amp,M2,cosmos
NRDAX-T0409,blocked-address-validation-bypass,consensus_abuse,OOS,cosmos
NRDAX-T0411,sighash-single-index-validation-gap,consensus_abuse,OOS,zcash
NRDAX-T0414,invalid-sighash-type-validation-gap,consensus_abuse,OOS,zcash
NRDAX-T0417,malformed-rlp-field-length-panic,compute_amp,M5,conflux
